X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
-0.724998295,0.262417376,0.724998355,0.0113200229,0.136078313,0.0853502154,-0.236425132,0.125174597,0.0216985382,1.02801108
-0.948328614,0.269589841,0.948328674,0.00459195487,0.0382819325,0.0217807405,0.305980027,0.556823015,0.0218827054,1.34282374
-0.448015034,0.269726694,0.448015034,0.0065953033,0.127812833,0.0934440866,0.0572037362,-0.267774642,0.0211675502,0.637292206
0.422315508,0.270620078,-0.422315508,0.00549380481,0.126992866,0.0939201266,0.076263912,-0.280440092,0.0209448785,0.599164724
-0.191219136,0.270640612,0.191219136,0.00433061505,0.147491187,0.101803914,0.241914794,0.0892143175,0.020061817,0.271590054
-0.172591031,0.271638632,0.172591031,0.00133764674,0.157789052,0.106108896,0.231078863,0.121206366,0.0200101268,0.246522427
0.745497584,0.272528082,-0.745497584,0.00846287701,0.132050648,0.0823189542,-0.21518293,0.208996654,0.0218445994,1.05592
-0.385330319,0.274078131,0.385330319,0.00170282263,0.122328848,0.0923089981,0.153783172,-0.226656049,0.0209212732,0.545854926
0.442501485,0.275726885,-0.442501515,0.00533930259,0.130591601,0.0956640989,0.0474603027,-0.291352451,0.0210341718,0.627744317
0.76819706,0.283293456,-0.768197,0.00770616718,0.134051457,0.0836413354,-0.203673109,0.280865192,0.0218624864,1.08771098
0.435538888,0.283481359,-0.435538888,0.000591983029,0.132644892,0.0982241035,0.0606954582,-0.294377089,0.0209983662,0.618389547
-0.980443478,0.289260536,0.980443418,0.00307018869,0.0377501175,0.0215953141,0.34754312,0.590319872,0.0218906403,1.38828599
-0.509360671,0.291971922,0.509360671,0.0045093419,0.142274797,0.101666667,-0.0414315127,-0.257893801,0.0213196203,0.721580386
0.985101283,0.292127073,-0.985101223,0.00418182742,0.0384559929,0.0214344431,0.36413008,0.590943575,0.0220123846,1.3952508
0.448008001,0.299704671,-0.448008001,0.00275028846,0.138476819,0.102620676,0.0429103784,-0.291659147,0.0210360531,0.634773493
